,US Stocks - Growth (Large Cap),US Stocks - Growth (Small Cap),US Stocks - Value (Large Cap),US Stocks - Momentum,US Stocks - Size (Large Cap),US Stocks - Size (Small Cap),US Government Bonds - Long Term,US Government Bonds - Short Term,Municipal Bonds,TIPS,US Corporate Bonds - High Yield,US Corporate Bonds - Investment Grade,Gold,Foreign Developed Stocks,Global Aggregate Bonds ex-US,Emerging Market Stocks,Emerging Market Bonds - USD
6.0%,0.3,0.0,0.0,0.0,0.0,0.0,0.14445999999999998,0.01,0.15058,0.3,0.0,0.01,0.07496,0.0,0.01,0.0,0.0
7.0%,0.4,0.0,0.0,0.0,0.0,0.0,0.23062,0.01,0.01,0.29696999999999996,0.0,0.01,0.03241,0.0,0.01,0.0,0.0
8.0%,0.5,0.0,0.0,0.0,0.0,0.0,0.35515,0.01,0.01,0.07257999999999999,0.0,0.01,0.03227,0.0,0.01,0.0,0.0
9.0%,0.5826399999999999,0.0,0.0,0.0,0.0,0.0,0.35736,0.01,0.01,0.01,0.0,0.01,0.01,0.0,0.01,0.0,0.0
10.0%,0.64909,0.0,0.0,0.0,0.0,0.0,0.29091,0.01,0.01,0.01,0.0,0.01,0.01,0.0,0.01,0.0,0.0
11.0%,0.7137899999999999,0.0,0.0,0.0,0.0,0.0,0.22621,0.01,0.01,0.01,0.0,0.01,0.01,0.0,0.01,0.0,0.0
12.0%,0.77725,0.0,0.0,0.0,0.0,0.0,0.16275,0.01,0.01,0.01,0.0,0.01,0.01,0.0,0.01,0.0,0.0
13.0%,0.8,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.0,0.01,0.14,0.0,0.01,0.0,0.0
14.0%,0.9,0.0,0.0,0.0,0.0,0.0,0.03255,0.01,0.01,0.01,0.0,0.01,0.01745,0.0,0.01,0.0,0.0
15.0%,0.93,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.01,0.0,0.01,0.01,0.0,0.01,0.0,0.0
