,Alpha,Beta,Expected Return(CAPM),Historical Return,Historical Volatility,Sharpe Ratio,MDD
6.0%,0.2234119609832949,0.26847532616789965,5.255259631370924,7.374479175773252,6.994113966951275,1.0543836160833646,-12.699481740210484
7.0%,0.2451440933311153,0.32296920095647286,6.231659127562794,8.624756092312925,8.058517486955573,1.0702658530274247,-13.913457211659674
8.0%,0.2556181298757162,0.38226589777546893,7.294113671757736,9.827986506565335,9.20322703159036,1.0678848270101855,-16.197311313299302
9.0%,0.2845607286351965,0.4265402112061113,8.08740314687109,11.01295932383275,10.093513275165595,1.0910927665721102,-16.388851708618326
10.0%,0.3077557946439477,0.464056686491025,8.759608375609305,12.008515734980874,10.900318473416219,1.1016665030721198,-16.58446410228258
11.0%,0.3340976055166947,0.49306823128556604,9.279425654726289,12.896656202487101,11.536853905123563,1.1178659544921206,-16.78414849429203
12.0%,0.3331996137897113,0.5158690209138523,9.687961101915738,13.308187340325418,12.058744639919396,1.1036129993390733,-16.78414849429204
13.0%,0.31569208631864504,0.5266420035189117,9.88098710399165,13.27308353646064,12.491505659735477,1.0625687485572266,-16.78414849429204
14.0%,0.3558556827047995,0.5555517600863651,10.398980582286391,14.35592366095635,13.179428771477749,1.089267517574412,-16.98790488464669
15.0%,0.3459521442958008,0.5715805795049719,10.68617857041991,14.522450698466095,13.739951154029312,1.0569506787662277,-17.049825841430412
EW,0.08612063665161632,0.5285048594481638,9.914365012937505,10.256918089308087,8.441373550529137,1.215076909926009,-12.239946026807802
60/40,0.24338769409468858,0.5157961875919583,9.68665610352685,12.104213057327385,8.121927972099629,1.4903127802792224,-9.442565908843504
